cX1	cX2	cX3	columnaI1	columnaI2	columnaI3	columnaI4
800	8	24	-56,44718	-62,87345	8,595889	11,46444
800	8	24	-56,29920	-62,95555	8,750000	11,50000
800	8	24	-56,16403	-63,10919	8,721081	11,61752
800	8	30	-57,84495	-62,99367	8,946829	11,77420
800	8	30	-57,79028	-62,95566	9,175000	11,92500
800	8	30	-57,89578	-63,07548	9,228633	11,91042
800	8	36	-58,85702	-62,92128	9,666516	11,50375
800	8	36	-58,83199	-62,95580	9,625000	11,50000
800	8	36	-58,92166	-63,07201	9,616284	11,34108
800	10	36	-58,96654	-62,90324	9,693417	13,03299
800	10	36	-58,84171	-62,96405	9,625000	12,97500
800	10	36	-58,83595	-63,01584	9,466136	13,01866
800	12	36	-59,04254	-62,92562	9,673583	13,71369
800	12	36	-58,85410	-62,94786	9,625000	13,72500
800	12	36	-58,71957	-63,02650	9,585032	13,61767
1000	12	36	-59,43825	-63,00377	10,096135	14,20512
1000	12	36	-59,35177	-62,94805	10,075000	14,17500
1000	12	36	-59,45486	-62,96884	10,233834	14,21143
1200	12	36	-59,71702	-62,93052	10,506394	14,60867
1200	12	36	-59,74478	-62,94825	10,550000	14,65000
1200	12	36	-59,79106	-62,79736	10,518100	14,79475
1200	12	30	-58,98876	-62,73004	9,943257	14,07047
1200	12	30	-58,90083	-62,94801	9,975000	14,07500
1200	12	30	-58,82514	-63,06940	9,853152	13,93783
1200	12	24	-57,69972	-62,96045	9,558608	13,61977
1200	12	24	-57,71908	-62,94780	9,500000	13,57500
1200	12	24	-57,66816	-62,88023	9,471814	13,55111
1200	10	24	-57,58271	-62,99141	9,398808	12,71989
1200	10	24	-57,69711	-62,96400	9,500000	12,82500
1200	10	24	-57,83243	-62,85738	9,356877	12,66320
1200	8	24	-57,78698	-63,12328	9,469767	12,20420
1200	8	24	-57,67942	-62,95575	9,500000	12,22500
1200	8	24	-57,64377	-63,09805	9,530015	12,14286
1000	8	24	-57,08916	-63,04294	9,056037	11,72373
1000	8	24	-57,08968	-62,95564	9,125000	11,85000
1000	8	24	-57,03664	-62,98508	9,139639	11,87147
1200	10	36	-59,77813	-63,02106	10,472613	13,85166
1200	10	36	-59,73338	-62,96441	10,550000	13,90000
1200	10	36	-59,78237	-63,11687	10,399525	14,03912
1000	10	36	-59,50637	-63,08900	10,052876	13,30343
1000	10	36	-59,34026	-62,96423	10,075000	13,42500
1000	10	36	-59,14359	-62,98253	10,438667	13,57956
1200	8	36	-59,63132	-63,15408	10,559722	13,55890
1200	8	36	-59,72456	-62,95612	10,550000	13,30000
1200	8	36	-59,67060	-62,80569	10,468015	13,26086
1000	8	36	-59,35498	-62,93146	10,199653	12,73401
1000	8	36	-59,33132	-62,95595	10,075000	12,82500
1000	8	36	-59,43007	-63,04308	10,010413	12,82510
800	10	30	-57,87909	-63,01059	9,245996	12,59454
800	10	30	-57,80774	-62,96389	9,175000	12,52500
800	10	30	-57,66273	-63,01369	9,187654	12,25617
800	12	30	-57,89716	-62,96052	9,209844	13,26645
800	12	30	-57,82901	-62,94769	9,175000	13,27500
800	12	30	-57,90398	-62,93350	9,290502	13,18991
1000	12	30	-58,47441	-62,86372	9,525200	13,46798
1000	12	30	-58,42575	-62,94783	9,575000	13,65000
1000	12	30	-58,35987	-62,95472	9,655424	13,65998
1200	10	30	-58,97511	-62,92833	9,995358	13,20375
1200	10	30	-58,88552	-62,96419	9,975000	13,32500
1200	10	30	-58,89114	-62,83024	10,276288	13,34090
1000	10	30	-58,40244	-62,86675	9,679970	12,96898
1000	10	30	-58,40924	-62,96402	9,575000	12,90000
1000	10	30	-58,56440	-63,02482	9,492148	12,92993
1200	8	30	-58,95516	-62,85312	10,114024	12,69895
1200	8	30	-58,87343	-62,95592	9,975000	12,72500
1200	8	30	-58,84647	-62,98944	9,918581	12,67135
800	12	24	-56,32905	-62,78432	8,684724	12,96314
800	12	24	-56,42086	-62,94753	8,750000	12,85000
800	12	24	-56,34173	-63,02909	8,627508	12,58620
800	10	24	-56,36142	-62,91684	8,535607	12,09581
800	10	24	-56,36687	-62,96375	8,750000	12,10000
800	10	24	-56,32329	-62,84781	8,575387	12,00196
1000	10	24	-57,15220	-62,94063	9,232009	12,60240
1000	10	24	-57,11241	-62,96386	9,125000	12,45000
1000	10	24	-57,03030	-62,72234	9,215661	12,47135
1000	12	24	-57,32614	-63,07592	9,078369	13,34066
1000	12	24	-57,13918	-62,94766	9,125000	13,20000
1000	12	24	-57,21414	-62,79762	9,048093	13,21307
1000	8	30	-58,61856	-63,00860	9,426969	12,31762
1000	8	30	-58,39584	-62,95578	9,575000	12,30000
1000	8	30	-58,52256	-63,09907	9,613242	12,28838
